Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Size,Color,Season,Review Rating,Previous Purchases
34,54,Male,Pants,Clothing,38,L,Green,Summer,3.3,45
35,36,Male,T-shirt,Clothing,91,L,Violet,Spring,4.6,38
36,54,Male,Blouse,Clothing,33,M,Cyan,Summer,4.0,48
37,35,Male,T-shirt,Clothing,69,M,Maroon,Winter,4.6,44
38,35,Male,Jeans,Clothing,45,S,Cyan,Summer,2.8,10
39,29,Male,Dress,Clothing,37,M,Red,Winter,3.7,44
40,70,Male,Pants,Clothing,60,S,Turquoise,Summer,4.2,18
41,69,Male,Handbag,Accessories,76,L,Beige,Winter,4.6,31
42,67,Male,Scarf,Accessories,39,M,Orange,Spring,4.5,40
43,20,Male,Coat,Outerwear,100,M,Beige,Spring,4.1,15
44,25,Male,Scarf,Accessories,69,L,Lavender,Fall,3.7,19
45,39,Male,Hat,Accessories,53,S,Silver,Summer,4.6,45
46,50,Male,Socks,Clothing,21,XL,Indigo,Fall,2.9,25
47,57,Male,Shirt,Clothing,43,L,White,Summer,2.9,45
48,55,Male,Jewelry,Accessories,54,M,Charcoal,Winter,4.5,36
49,42,Male,Shirt,Clothing,55,M,Orange,Summer,2.7,38
50,68,Male,Hoodie,Clothing,30,S,Indigo,Spring,4.6,34
51,49,Male,Blouse,Clothing,28,M,Red,Spring,3.7,39
52,59,Male,Skirt,Clothing,59,XL,Gray,Winter,4.7,7
53,42,Male,T-shirt,Clothing,20,M,Green,Summer,2.6,26
54,29,Male,Skirt,Clothing,24,S,Peach,Winter,3.9,35
55,47,Male,Coat,Outerwear,94,M,Brown,Summer,4.2,35
56,40,Male,Jacket,Outerwear,28,M,Lavender,Winter,3.0,49
57,41,Male,Backpack,Accessories,73,XL,Brown,Summer,4.7,46
58,21,Male,Coat,Outerwear,64,M,White,Summer,4.4,17
59,69,Male,Hoodie,Clothing,54,M,Charcoal,Summer,4.2,29
60,63,Male,Belt,Accessories,79,L,Yellow,Spring,4.6,4
61,50,Male,Sweater,Clothing,37,L,Brown,Summer,4.0,17
62,55,Male,Scarf,Accessories,68,M,Orange,Winter,4.7,21
63,30,Male,Sneakers,Footwear,21,S,Magenta,Spring,3.8,31
64,33,Male,Sunglasses,Accessories,79,L,Lavender,Winter,2.7,43
65,65,Male,Boots,Footwear,83,S,Green,Fall,4.8,18
66,65,Male,Backpack,Accessories,36,M,Purple,Spring,4.8,44
67,31,Male,Blouse,Clothing,94,S,Magenta,Winter,4.7,3
68,45,Male,Coat,Outerwear,33,L,Gray,Winter,4.4,49
69,57,Male,Handbag,Accessories,46,L,Silver,Summer,3.9,21
70,48,Male,Belt,Accessories,70,S,Cyan,Summer,4.4,5
71,22,Male,Belt,Accessories,29,M,Magenta,Fall,4.2,32
72,36,Male,Dress,Clothing,48,L,Gold,Summer,2.9,34
73,18,Male,Dress,Clothing,26,M,Olive,Winter,2.9,21
74,48,Male,Pants,Clothing,85,M,Teal,Spring,2.7,43
75,49,Male,Gloves,Accessories,58,L,Violet,Spring,4.5,3
76,64,Male,Scarf,Accessories,85,M,Blue,Summer,2.7,21
77,50,Male,Hat,Accessories,43,S,Teal,Summer,4.2,32
78,22,Male,Dress,Clothing,53,L,Gold,Summer,3.3,36
79,50,Male,Skirt,Clothing,91,M,Maroon,Spring,4.7,50
80,38,Male,Jacket,Outerwear,96,M,Olive,Winter,2.6,43
81,19,Male,Sandals,Footwear,72,XL,Blue,Summer,3.3,24
82,67,Male,Shoes,Footwear,96,L,Maroon,Summer,2.6,36
83,19,Male,Pants,Clothing,28,S,Olive,Spring,4.0,21
84,36,Male,Dress,Clothing,40,M,Turquoise,Summer,4.1,34
85,52,Male,Coat,Outerwear,32,S,Peach,Spring,4.4,42
86,53,Male,Sunglasses,Accessories,95,M,Charcoal,Winter,4.5,2
87,24,Male,Hoodie,Clothing,41,L,Pink,Spring,3.7,47
88,52,Male,Shoes,Footwear,53,M,Green,Fall,3.7,44
89,33,Male,T-shirt,Clothing,47,M,Orange,Fall,3.5,35
90,47,Male,Jacket,Outerwear,83,XL,Pink,Fall,3.6,15
91,25,Male,Hat,Accessories,48,L,Violet,Summer,2.9,29
92,44,Male,Scarf,Accessories,99,S,Green,Winter,4.6,18
93,61,Male,Jacket,Outerwear,87,M,Olive,Winter,4.4,13
94,37,Male,Sweater,Clothing,62,M,Purple,Fall,4.5,46
95,58,Male,Skirt,Clothing,76,S,Silver,Spring,4.6,28
96,37,Male,Sneakers,Footwear,100,L,Pink,Fall,3.8,48
97,32,Male,Gloves,Accessories,73,S,Gold,Spring,3.6,43
98,21,Male,Shoes,Footwear,92,M,Teal,Winter,4.8,37
99,20,Male,Jeans,Clothing,67,XL,Teal,Spring,2.6,20
100,26,Male,Hoodie,Clothing,40,XL,Indigo,Summer,3.7,33
101,62,Male,Sunglasses,Accessories,98,M,Maroon,Fall,2.7,31
102,27,Male,Coat,Outerwear,85,XL,White,Spring,4.6,50
103,51,Male,Socks,Clothing,67,L,Violet,Winter,4.8,35
104,54,Male,Boots,Footwear,89,L,Red,Winter,4.0,22
105,55,Male,Sunglasses,Accessories,24,L,Pink,Spring,4.4,1
106,69,Male,Backpack,Accessories,96,M,Charcoal,Fall,3.6,4
107,64,Male,Jacket,Outerwear,35,L,White,Summer,3.7,31
108,28,Male,Sneakers,Footwear,67,L,Olive,Winter,3.1,46
109,70,Male,Socks,Clothing,79,L,Purple,Spring,3.4,32
110,58,Male,T-shirt,Clothing,85,M,Violet,Spring,2.6,43
111,56,Male,Backpack,Accessories,26,M,Black,Summer,4.0,26
112,26,Male,Belt,Accessories,75,L,Purple,Summer,5.0,9
113,37,Male,Gloves,Accessories,65,M,Red,Spring,4.3,28
114,44,Male,Hat,Accessories,54,L,Maroon,Winter,3.1,20
115,70,Male,Coat,Outerwear,95,S,Blue,Summer,3.7,9
116,53,Male,Skirt,Clothing,94,M,Gray,Spring,3.8,48
117,55,Male,Shoes,Footwear,86,S,Blue,Spring,3.4,12
118,50,Male,Sandals,Footwear,32,L,Yellow,Summer,4.6,29
119,50,Male,Sweater,Clothing,45,L,Orange,Fall,4.8,27
120,38,Male,Coat,Outerwear,76,M,Orange,Fall,4.3,44
121,64,Male,Hat,Accessories,84,L,Red,Summer,4.0,32
122,19,Male,Shorts,Clothing,72,M,Olive,Winter,4.2,11
123,40,Male,Backpack,Accessories,40,L,Brown,Spring,4.8,44
124,57,Male,Sweater,Clothing,89,L,Brown,Fall,3.1,46
125,44,Male,Sweater,Clothing,86,M,Gray,Spring,3.1,50
126,49,Male,Shorts,Clothing,54,M,Indigo,Winter,3.6,45
127,43,Male,Shorts,Clothing,36,L,Pink,Spring,3.9,48
128,24,Male,Sweater,Clothing,89,M,Gray,Winter,4.8,26
129,20,Male,Scarf,Accessories,32,M,Gold,Spring,4.7,21
130,24,Male,Dress,Clothing,67,XL,Olive,Summer,4.2,49
131,44,Male,Scarf,Accessories,39,L,Violet,Fall,3.7,13
132,28,Male,Skirt,Clothing,29,L,Indigo,Summer,3.9,46
133,30,Male,Backpack,Accessories,58,M,Orange,Fall,4.7,42
134,52,Male,Sweater,Clothing,65,M,Violet,Winter,2.5,25
135,43,Male,Hat,Accessories,94,L,Gray,Fall,4.9,25
136,43,Male,Sandals,Footwear,81,M,Purple,Fall,4.1,12
137,39,Male,Blouse,Clothing,86,M,White,Winter,3.3,4
138,68,Male,Sneakers,Footwear,43,M,Turquoise,Spring,4.7,38
139,68,Male,Skirt,Clothing,29,M,Maroon,Winter,4.4,42
140,49,Male,Coat,Outerwear,95,M,White,Fall,3.8,30
141,63,Male,Shirt,Clothing,28,L,Yellow,Fall,3.9,50
142,56,Male,Gloves,Accessories,46,M,Turquoise,Fall,4.9,45
143,37,Male,Jacket,Outerwear,58,L,Violet,Fall,3.1,33
144,30,Male,Coat,Outerwear,48,M,Beige,Fall,2.7,25
145,19,Male,Shoes,Footwear,43,M,Silver,Fall,3.2,25
146,24,Male,Jewelry,Accessories,95,M,Teal,Fall,4.5,44
147,52,Male,Skirt,Clothing,30,S,Black,Fall,4.0,21
148,63,Male,Shoes,Footwear,64,M,Purple,Summer,3.5,31
149,37,Male,Gloves,Accessories,90,M,Gray,Fall,2.6,47
150,38,Male,Pants,Clothing,76,M,White,Summer,3.2,14
151,35,Male,Boots,Footwear,96,L,Cyan,Fall,4.9,17
152,28,Male,Sunglasses,Accessories,47,L,Turquoise,Fall,4.5,3
153,30,Male,Shirt,Clothing,85,S,Brown,Summer,4.3,42
154,69,Male,Hoodie,Clothing,55,M,Maroon,Winter,3.2,22
155,41,Male,Dress,Clothing,98,M,Charcoal,Fall,3.6,21
156,63,Male,Socks,Clothing,77,S,Olive,Spring,4.3,21
157,35,Male,Shorts,Clothing,26,M,Lavender,Fall,4.0,40
158,36,Male,Hat,Accessories,68,S,Yellow,Fall,3.0,1
159,25,Male,Shirt,Clothing,73,XL,Teal,Fall,4.1,50
160,58,Male,Gloves,Accessories,27,M,Charcoal,Fall,3.8,39
161,27,Male,Gloves,Accessories,23,M,Orange,Summer,4.6,34
162,65,Male,Backpack,Accessories,49,M,Olive,Fall,3.0,29
163,54,Male,Sunglasses,Accessories,74,M,Turquoise,Summer,3.0,31
164,54,Male,Skirt,Clothing,67,M,Purple,Summer,3.4,8
165,59,Male,Handbag,Accessories,65,S,Purple,Spring,2.6,5
166,42,Male,Handbag,Accessories,60,S,Yellow,Winter,2.8,7
167,46,Male,Sneakers,Footwear,31,XL,Indigo,Fall,4.0,30
168,33,Male,Gloves,Accessories,27,M,Green,Fall,4.0,14
169,34,Male,Shoes,Footwear,80,M,Magenta,Summer,3.0,5
170,27,Male,Jacket,Outerwear,30,S,Gold,Summer,3.3,3
171,52,Male,Shirt,Clothing,25,M,Maroon,Fall,2.6,46
172,29,Male,Shorts,Clothing,35,M,Blue,Summer,3.6,4
173,54,Male,Jewelry,Accessories,67,M,Violet,Summer,3.9,42
174,25,Male,Hat,Accessories,46,M,Turquoise,Fall,3.4,30
175,41,Male,Shoes,Footwear,35,L,Brown,Winter,3.5,37
176,53,Male,Coat,Outerwear,86,L,Violet,Fall,2.8,2
177,53,Male,Backpack,Accessories,81,L,Black,Spring,2.7,30
178,21,Male,Hoodie,Clothing,42,L,Magenta,Fall,3.7,47
179,61,Male,Skirt,Clothing,43,L,Lavender,Fall,4.3,21
180,64,Male,Boots,Footwear,31,M,Violet,Fall,4.9,9
181,51,Male,Sandals,Footwear,81,L,Green,Fall,3.3,12
182,32,Male,Pants,Clothing,61,M,Beige,Summer,4.7,4
183,38,Male,Gloves,Accessories,96,XL,Purple,Summer,2.8,10
184,58,Male,Skirt,Clothing,29,XL,Beige,Spring,3.6,26
185,32,Male,Sneakers,Footwear,33,L,Cyan,Spring,3.0,40
186,46,Male,T-shirt,Clothing,32,XL,Silver,Summer,4.5,34
187,39,Male,Backpack,Accessories,56,S,Lavender,Summer,2.9,31
188,19,Male,Shoes,Footwear,94,S,Purple,Spring,3.3,1
189,50,Male,Hoodie,Clothing,53,M,Pink,Spring,3.1,5
190,36,Male,Blouse,Clothing,82,M,Maroon,Fall,4.4,4
191,65,Male,Coat,Outerwear,70,XL,Beige,Fall,3.0,48
192,64,Male,Hat,Accessories,76,M,Gray,Fall,3.9,29
193,46,Male,Shoes,Footwear,29,L,Turquoise,Summer,2.9,12
194,36,Male,Belt,Accessories,100,S,Silver,Fall,3.0,29
195,51,Male,Backpack,Accessories,94,M,Olive,Spring,3.1,15
196,51,Male,Jacket,Outerwear,25,M,Magenta,Fall,4.3,34
197,38,Male,Boots,Footwear,88,M,Lavender,Summer,3.9,41
198,59,Male,Scarf,Accessories,78,M,Black,Fall,3.2,41
199,57,Male,Jewelry,Accessories,45,M,Turquoise,Winter,4.8,39
200,54,Male,Hat,Accessories,73,XL,Green,Summer,3.8,32
201,25,Male,Dress,Clothing,61,S,Teal,Summer,3.3,29
202,69,Male,Blouse,Clothing,22,S,Beige,Fall,4.3,15
203,57,Male,Hat,Accessories,38,L,Magenta,Spring,2.7,33
204,70,Male,Scarf,Accessories,38,S,Yellow,Fall,3.2,18
205,24,Male,Sneakers,Footwear,100,M,Yellow,Fall,4.0,35
206,67,Male,Shirt,Clothing,64,M,Silver,Winter,3.0,25
207,24,Male,T-shirt,Clothing,55,L,Silver,Summer,4.2,6
208,62,Male,Gloves,Accessories,91,M,Silver,Summer,2.9,17
209,57,Male,Skirt,Clothing,38,M,Gold,Spring,4.1,17
210,55,Male,Sandals,Footwear,97,S,Olive,Winter,3.2,44
211,45,Male,Jacket,Outerwear,22,L,Teal,Fall,3.0,6
212,69,Male,Skirt,Clothing,92,L,Maroon,Fall,4.2,45
213,67,Male,Handbag,Accessories,84,L,Blue,Fall,4.2,7
214,30,Male,Handbag,Accessories,93,L,Peach,Fall,4.4,11
215,24,Male,Jacket,Outerwear,50,L,Blue,Summer,4.2,41
216,62,Male,Scarf,Accessories,64,S,Orange,Spring,2.8,24
217,43,Male,Shorts,Clothing,61,L,Yellow,Spring,3.7,21
218,35,Male,Sunglasses,Accessories,48,M,Purple,Winter,3.5,24
219,28,Male,T-shirt,Clothing,45,S,Magenta,Spring,2.9,8
220,32,Male,Belt,Accessories,88,M,Cyan,Spring,3.0,12
221,39,Male,Sneakers,Footwear,57,S,Indigo,Spring,3.7,48
222,28,Male,Hat,Accessories,68,XL,Magenta,Summer,4.4,6
223,47,Male,Gloves,Accessories,94,XL,Gray,Spring,4.5,14
224,20,Male,Pants,Clothing,41,M,Turquoise,Spring,4.8,34
225,63,Male,Socks,Clothing,83,S,Beige,Summer,2.9,12
226,25,Male,Jacket,Outerwear,22,M,Olive,Spring,3.2,11
227,29,Male,Shoes,Footwear,74,L,Violet,Spring,3.3,5
228,50,Male,Jeans,Clothing,90,M,Turquoise,Winter,4.2,25
229,18,Male,Socks,Clothing,79,M,White,Spring,2.9,11
230,70,Male,Sandals,Footwear,28,S,Silver,Spring,4.6,27
231,66,Male,Scarf,Accessories,88,L,Olive,Fall,4.1,43
232,28,Male,Blouse,Clothing,26,M,Blue,Spring,3.1,18
233,54,Male,Jewelry,Accessories,27,L,Purple,Winter,4.2,32
234,19,Male,Sweater,Clothing,83,XL,Yellow,Fall,4.5,27
235,20,Male,Gloves,Accessories,39,S,Silver,Summer,3.7,24
236,43,Male,Sunglasses,Accessories,89,M,Cyan,Winter,3.7,31
237,38,Male,Coat,Outerwear,68,L,Green,Winter,3.4,39
238,50,Male,Dress,Clothing,90,M,Beige,Summer,3.0,36
239,64,Male,Skirt,Clothing,34,M,Peach,Fall,4.2,5
240,49,Male,Pants,Clothing,51,L,Yellow,Summer,2.9,47
241,47,Male,Sweater,Clothing,45,XL,Turquoise,Winter,3.5,29
242,36,Male,Hoodie,Clothing,88,M,Peach,Winter,4.1,43
243,55,Male,Coat,Outerwear,85,L,Gray,Summer,4.3,40
244,25,Male,Jewelry,Accessories,100,M,Olive,Winter,2.8,4
245,53,Male,Belt,Accessories,42,S,Indigo,Spring,4.9,39
246,49,Male,Sandals,Footwear,53,L,Charcoal,Summer,3.3,45
247,35,Male,Sunglasses,Accessories,86,XL,Beige,Spring,3.2,20
248,29,Male,Sweater,Clothing,66,XL,Brown,Spring,4.4,14
249,47,Male,Belt,Accessories,100,M,Blue,Winter,4.8,33
250,53,Male,Handbag,Accessories,47,S,Teal,Fall,4.2,18
251,33,Male,Skirt,Clothing,25,L,Black,Fall,4.0,9
252,21,Male,Handbag,Accessories,51,XL,Gold,Winter,2.5,34
253,32,Male,Shorts,Clothing,41,M,Violet,Summer,3.9,33
254,52,Male,Boots,Footwear,73,L,Cyan,Winter,4.9,15
255,67,Male,Sunglasses,Accessories,42,M,White,Winter,3.5,4
256,43,Male,Scarf,Accessories,20,M,Charcoal,Spring,4.2,25
257,58,Male,Jewelry,Accessories,30,XL,Violet,Spring,4.7,20
258,20,Male,Handbag,Accessories,53,M,Red,Summer,4.5,5
259,61,Male,Gloves,Accessories,74,S,Lavender,Spring,2.8,16
260,32,Male,Jeans,Clothing,57,M,Gold,Fall,2.9,13
261,38,Male,Hat,Accessories,57,S,Red,Winter,3.2,11
262,21,Male,Jeans,Clothing,77,L,Magenta,Winter,4.9,21
263,37,Male,Pants,Clothing,40,M,Teal,Summer,3.7,6
264,27,Male,Shorts,Clothing,46,M,Purple,Summer,4.3,29
265,36,Male,Pants,Clothing,78,S,Charcoal,Fall,3.9,15
266,32,Male,Backpack,Accessories,59,M,Gray,Spring,3.2,17
267,51,Male,Jewelry,Accessories,75,L,White,Summer,3.1,32
268,64,Male,Sweater,Clothing,54,M,Olive,Spring,3.9,42
269,68,Male,Shoes,Footwear,42,M,Charcoal,Spring,2.6,21
270,68,Male,Blouse,Clothing,44,M,Charcoal,Winter,3.3,9
271,33,Male,Jeans,Clothing,52,XL,Orange,Fall,4.6,16
272,65,Male,Sunglasses,Accessories,69,XL,Yellow,Summer,4.6,42
273,48,Male,Jewelry,Accessories,26,M,Beige,Summer,4.4,37
274,69,Male,Coat,Outerwear,33,S,Silver,Spring,4.2,32
275,59,Male,Jewelry,Accessories,32,M,Indigo,Spring,3.0,28
276,48,Male,Backpack,Accessories,85,XL,Lavender,Winter,4.0,13
277,25,Male,Skirt,Clothing,30,XL,Turquoise,Fall,3.5,11
278,29,Male,Shirt,Clothing,29,M,Green,Winter,3.0,36
279,57,Male,Sweater,Clothing,95,M,Orange,Spring,3.7,23
280,23,Male,Sneakers,Footwear,69,L,Turquoise,Summer,4.0,37
281,45,Male,Sandals,Footwear,69,S,Cyan,Fall,4.2,21
282,38,Male,Belt,Accessories,61,XL,Charcoal,Spring,2.5,22
283,21,Male,Skirt,Clothing,94,M,Teal,Summer,3.0,9
284,32,Male,Sweater,Clothing,30,S,Maroon,Fall,3.2,16
285,63,Male,Skirt,Clothing,45,M,Red,Summer,3.5,4
286,29,Male,Handbag,Accessories,39,XL,Yellow,Summer,4.8,3
287,27,Male,Jewelry,Accessories,51,L,Gray,Summer,2.6,6
288,56,Male,Scarf,Accessories,37,L,Blue,Spring,3.4,18
289,30,Male,T-shirt,Clothing,62,M,Lavender,Winter,3.7,34
290,49,Male,Coat,Outerwear,85,M,Yellow,Fall,4.5,26
291,58,Male,T-shirt,Clothing,33,M,Indigo,Winter,3.7,50
292,57,Male,Dress,Clothing,26,XL,Violet,Fall,3.3,40
293,60,Male,Shoes,Footwear,99,M,Green,Spring,4.7,24
294,69,Male,Handbag,Accessories,39,M,White,Spring,2.7,33
295,70,Male,Skirt,Clothing,20,M,Gold,Spring,4.6,19
296,53,Male,Sunglasses,Accessories,42,M,Indigo,Winter,2.7,24
297,25,Male,Sandals,Footwear,74,S,Lavender,Spring,4.8,19
298,48,Male,Shoes,Footwear,26,XL,Purple,Summer,4.4,4
299,69,Male,T-shirt,Clothing,53,M,Lavender,Winter,4.0,11
300,25,Male,Sneakers,Footwear,80,M,Maroon,Summer,3.2,28
301,29,Male,Hat,Accessories,98,M,Teal,Spring,4.4,24
302,46,Male,Skirt,Clothing,95,M,Green,Spring,3.8,25
303,37,Male,Sweater,Clothing,44,L,Olive,Summer,3.6,27
304,20,Male,Sandals,Footwear,60,M,Turquoise,Summer,3.3,49
305,40,Male,Dress,Clothing,84,M,Green,Winter,3.4,45
306,60,Male,Sweater,Clothing,59,M,Teal,Fall,3.5,26
307,26,Male,Jacket,Outerwear,49,S,White,Summer,3.6,4
308,29,Male,Gloves,Accessories,32,M,Orange,Winter,3.2,3
309,66,Male,Handbag,Accessories,29,M,Beige,Fall,3.7,45
310,66,Male,Dress,Clothing,22,M,Yellow,Spring,4.5,21
311,56,Male,Pants,Clothing,85,M,Charcoal,Winter,4.6,50
312,69,Male,Jeans,Clothing,52,L,Silver,Winter,4.1,19
313,38,Male,Pants,Clothing,89,L,Green,Spring,3.4,6
314,42,Male,Dress,Clothing,77,M,Pink,Spring,3.7,50
315,30,Male,Pants,Clothing,24,M,Purple,Summer,3.3,17
316,66,Male,Jewelry,Accessories,24,XL,Orange,Spring,4.5,24
317,36,Male,Handbag,Accessories,22,M,Charcoal,Fall,3.3,46
318,58,Male,Sweater,Clothing,82,L,Teal,Fall,4.3,42
319,45,Male,Backpack,Accessories,67,M,Beige,Winter,2.5,10
320,47,Male,Shorts,Clothing,74,XL,White,Spring,2.6,1
321,66,Male,Jewelry,Accessories,72,L,White,Summer,4.9,28
322,41,Male,Sneakers,Footwear,36,L,Orange,Summer,4.7,48
323,41,Male,Belt,Accessories,95,S,Cyan,Winter,3.0,47
324,66,Male,Hoodie,Clothing,78,M,Orange,Winter,3.5,29
325,37,Male,Shirt,Clothing,82,M,Olive,Summer,4.8,37
326,70,Male,Pants,Clothing,70,M,Charcoal,Winter,4.3,38
327,62,Male,Scarf,Accessories,41,M,White,Fall,3.2,48
328,61,Male,Coat,Outerwear,42,M,Teal,Summer,3.1,36
329,48,Male,Coat,Outerwear,50,M,Yellow,Fall,2.8,9
330,70,Male,Socks,Clothing,31,S,White,Summer,2.9,34
331,46,Male,Sweater,Clothing,51,M,Beige,Winter,3.7,43
332,31,Male,Shirt,Clothing,98,L,Beige,Fall,3.3,46
333,19,Male,Shirt,Clothing,86,M,Maroon,Winter,2.8,5
334,39,Male,Sweater,Clothing,64,M,Teal,Winter,4.5,15
335,41,Male,Blouse,Clothing,46,M,Lavender,Fall,2.6,30
336,20,Male,Sweater,Clothing,85,L,Maroon,Spring,3.7,44
337,36,Male,Hat,Accessories,81,S,Orange,Fall,4.4,16
338,32,Male,Sweater,Clothing,59,M,Cyan,Winter,4.3,16
339,69,Male,Hoodie,Clothing,79,M,Silver,Winter,3.5,16
340,40,Male,Shorts,Clothing,33,M,Teal,Spring,3.8,21
341,40,Male,Shorts,Clothing,47,L,Blue,Summer,3.5,39
342,20,Male,Hat,Accessories,20,S,Blue,Summer,4.6,40
343,64,Male,Coat,Outerwear,36,M,Olive,Spring,2.6,48
344,27,Male,Sandals,Footwear,39,M,Purple,Summer,4.4,26
345,24,Male,Skirt,Clothing,71,M,Charcoal,Winter,4.0,46
346,48,Male,Shoes,Footwear,59,S,Olive,Winter,4.4,27
347,49,Male,Jeans,Clothing,50,L,Violet,Spring,4.7,5
348,36,Male,Sandals,Footwear,41,L,Red,Fall,3.9,43
349,56,Male,Blouse,Clothing,59,M,Beige,Fall,2.7,17
350,37,Male,Hat,Accessories,87,M,Green,Winter,3.7,3
351,42,Male,Sweater,Clothing,68,M,Violet,Spring,2.6,47
352,28,Male,Skirt,Clothing,90,M,Teal,Winter,3.9,24
353,27,Male,Jeans,Clothing,71,XL,Yellow,Fall,4.9,12
354,63,Male,Sneakers,Footwear,64,L,Yellow,Fall,4.1,35
355,58,Male,Jewelry,Accessories,76,S,Olive,Fall,3.0,42
356,37,Male,Jewelry,Accessories,42,XL,Magenta,Fall,4.1,1
357,56,Male,Pants,Clothing,80,L,Black,Spring,3.8,27
358,18,Male,Belt,Accessories,56,M,Olive,Spring,4.0,16
359,48,Male,Hat,Accessories,25,XL,Magenta,Summer,3.6,36
360,31,Male,Sneakers,Footwear,74,M,Olive,Winter,3.0,30
361,51,Male,Pants,Clothing,30,M,Teal,Summer,3.0,18
362,65,Male,T-shirt,Clothing,96,M,White,Spring,2.6,45
363,53,Male,Sneakers,Footwear,64,M,Charcoal,Fall,3.4,1
364,55,Male,Shorts,Clothing,88,L,Yellow,Winter,3.1,42
365,62,Male,Shoes,Footwear,88,L,Charcoal,Summer,3.0,7
366,55,Male,Gloves,Accessories,88,XL,Gray,Summer,3.7,50
367,64,Male,Socks,Clothing,36,M,Turquoise,Spring,3.5,37
368,52,Male,Dress,Clothing,40,XL,Cyan,Spring,2.8,18
369,24,Male,Handbag,Accessories,39,M,Charcoal,Spring,4.5,29
370,38,Male,Belt,Accessories,40,M,Silver,Summer,3.3,45
371,59,Male,Scarf,Accessories,34,M,Olive,Winter,3.4,13
372,27,Male,Sneakers,Footwear,83,S,Pink,Winter,3.2,47
373,24,Male,Sweater,Clothing,85,L,Orange,Summer,3.7,7
374,23,Male,Coat,Outerwear,27,L,White,Summer,4.6,11
375,69,Male,Jewelry,Accessories,78,S,Purple,Spring,5.0,39
376,59,Male,Sunglasses,Accessories,32,M,Olive,Summer,4.4,6
377,51,Male,Shoes,Footwear,51,S,Gray,Fall,4.9,2
378,63,Male,Scarf,Accessories,32,M,Silver,Spring,4.1,39
379,54,Male,Dress,Clothing,62,L,Orange,Winter,4.9,23
380,32,Male,T-shirt,Clothing,29,S,Magenta,Fall,4.7,46
381,39,Male,Backpack,Accessories,69,XL,Beige,Fall,3.0,19
382,66,Male,Jewelry,Accessories,25,L,Lavender,Winter,3.4,3
383,28,Male,Jeans,Clothing,76,M,Peach,Winter,3.2,47
384,50,Male,Sunglasses,Accessories,77,S,Magenta,Fall,2.9,6
385,70,Male,Sweater,Clothing,33,M,Beige,Fall,4.5,6
386,67,Male,Shorts,Clothing,93,S,Yellow,Fall,2.7,12
387,64,Male,Jewelry,Accessories,39,L,Brown,Spring,3.4,40
388,45,Male,Coat,Outerwear,93,L,Silver,Summer,4.6,38
389,22,Male,Handbag,Accessories,82,M,Orange,Summer,2.7,10
390,27,Male,Boots,Footwear,42,L,Purple,Spring,4.2,28
391,25,Male,Gloves,Accessories,71,M,Indigo,Winter,3.2,19
392,37,Male,Sweater,Clothing,86,L,Gray,Spring,4.8,25
